PC1,PC2,Analyte,Concentration
7.768201797170948,-5.862250573431736,Ace,250
-3.1676161329879893,-18.96035216118163,Ace,250
5.059484521766601,-10.165263746219953,Ace,250
7.385351267467635,-7.672287122601345,Ace,250
7.190402238725158,-5.878493785769427,Ace,250
5.423011768883937,-3.868984503637682,Ace,250
7.379889328024902,-3.7371764162155525,Ace,250
8.491848289297232,0.9937430857701128,Ace,350
15.098557754572479,5.556818044673944,Ace,350
11.260510358737394,0.7428890773381825,Ace,350
11.536923353935151,-0.9523983405096748,Ace,350
10.483254709023711,2.0026841013126684,Ace,350
10.005821419135168,1.1577209475530137,Ace,350
7.453515009835004,1.5067755972075156,Ace,350
10.761659761416665,1.7567949026069607,Ace,350
9.09323681354741,-1.0809355390721824,Ace,350
8.196428500294665,1.5685717172185407,Ace,350
4.87418379995854,-4.68404446978569,Ace,450
12.045485821885684,2.4826181789392847,Ace,450
10.382388817153219,0.1808223632051877,Ace,450
8.100508151447807,0.47783192588324247,Ace,450
8.376556743437005,-2.229534351709738,Ace,450
5.84812230697382,-2.911369436050588,Ace,450
7.220019784356194,0.5276234205280513,Ace,450
9.034469992209118,-4.3341551367912885,Ace,450
7.546918538471827,-5.4462738045337895,Ace,450
3.752426469263006,-3.5363905142223167,Ace,450
-9.79766840719501,-4.420327913875325,EtOH,250
-5.941600675971951,-6.269126803372216,EtOH,250
-6.5692846784126955,-2.812302988941443,EtOH,250
-5.753746120014306,-4.935198499287141,EtOH,250
-7.979985578160384,-4.47729844239102,EtOH,250
-4.83524985596764,-3.8448828099431704,EtOH,250
-6.034248850982334,-5.289848367970723,EtOH,250
-5.768968862241953,-5.447332838355409,EtOH,250
-6.5662352755413105,-3.89424253275797,EtOH,250
-5.916369324333173,-4.268608963301361,EtOH,250
-5.976777899328455,-2.2460158620103963,EtOH,350
-5.854768567430293,-1.3849468704829009,EtOH,350
-7.04098578174365,-1.0541521194831898,EtOH,350
-9.348318908880737,-2.9899560738801285,EtOH,350
-6.491866872902863,-3.343480209538471,EtOH,350
-8.415472742723365,-4.076666830377218,EtOH,350
-5.319134843775395,-2.430799648548232,EtOH,350
-2.6449470970008346,-5.7779582808109105,EtOH,450
-0.32205749851229554,0.21497038565111098,EtOH,450
-1.8538300290347725,0.06350002911310294,EtOH,450
-4.183453609849222,-2.935854183921471,EtOH,450
-4.073205729339925,-4.883538388901813,EtOH,450
-5.92201802666245,-5.316561862574101,EtOH,450
-1.4110294907463385,-6.270062936055418,EtOH,450
-3.4457580246035047,-5.861110151014465,EtOH,450
-6.4991892276819385,-5.880252424309747,EtOH,450
2.2098110345222883,4.911704839277471,IPA,250
1.31513188149282,0.8291890698795235,IPA,250
0.13275833921445418,4.861415154260479,IPA,250
-0.14358574592446646,9.310042020739001,IPA,250
-0.14092009425634483,4.87028308891676,IPA,250
-0.34822897354320664,7.466365079476114,IPA,250
0.1456109372943244,2.1460547088693653,IPA,250
-1.3576440459225998,5.559322171687544,IPA,250
0.7303005947441634,3.9237568342071936,IPA,350
-2.3334903690857876,11.616949013659605,IPA,350
-1.5077539370111408,14.196519882375927,IPA,350
0.12198679963901923,13.265153085130322,IPA,350
-2.5641277145211365,9.867592914454999,IPA,350
-3.306278596876509,1.3976727790976666,IPA,350
-2.7092554730105194,10.44198871491735,IPA,350
-3.029730905112863,8.450579442815451,IPA,350
-3.8422084831164964,2.6460266739159435,IPA,350
-5.2879341469705965,0.5688745376419007,IPA,450
-4.031564935627872,6.413236362540295,IPA,450
-7.177580225687844,4.727730306235696,IPA,450
-5.808880898932408,5.1359407862532835,IPA,450
-7.081108614277617,5.075657482158484,IPA,450
-7.428999011347888,6.946673485802804,IPA,450
-7.6708567547243085,3.8805988676067975,IPA,450
-5.960359470586842,7.248608793124565,IPA,450
-5.560480395336037,6.439136031791342,IPA,450
